task,tier,dataset_name,status,error,n_rows,n_cols,target_col,accuracy,precision,recall,f1,mae,mse,rmse,r2,automl_models_tried,automl_ensemble_size,automl_best_model_weight,automl_best_model_name,target_source
classification,mid,uciml_iris,success,,150.0,6.0,Species,1.0,1.0,1.0,1.0,,,,,86.0,29.0,0.08,SimpleClassificationPipeline,config
classification,mid,uciml_pima-indians-diabetes-database,success,,768.0,9.0,Outcome,0.7272727272727273,0.7200995461865026,0.7272727272727273,0.7216083916083916,,,,,60.0,20.0,0.18,SimpleClassificationPipeline,config
classification,mid,xhlulu_cpc-codes,success,,260476.0,7.0,class,0.941953316953317,0.9421011743545424,0.941953316953317,0.9419798222598909,,,,,9.0,2.0,0.6,SimpleClassificationPipeline,config
classification,mid,yasserh_titanic-dataset,success,,891.0,12.0,Survived,0.776536312849162,0.7776300115018074,0.776536312849162,0.7682268438101499,,,,,57.0,17.0,0.44,SimpleClassificationPipeline,config
classification,hard,abhishek14398_loan-dataset,success,,39717.0,111.0,term,0.9987411883182276,0.9987433475149373,0.9987411883182276,0.9987402434324724,,,,,16.0,3.0,0.66,SimpleClassificationPipeline,heuristic
classification,hard,andrewmvd_cyberbullying-classification,success,,47692.0,2.0,cyberbullying_type,0.36722926931544186,0.3644450747354897,0.36722926931544186,0.3643027199468733,,,,,20.0,2.0,0.74,SimpleClassificationPipeline,config
classification,hard,balaka18_email-spam-classification-dataset-csv,failed,"The least populated class in y has only 1 member, which is too few. The minimum number of groups for any class cannot be less than 2.",,,,,,,,,,,,,,,,config
classification,hard,ddosad_ecommerce-customer-service-satisfaction,success,,85907.0,20.0,channel_name,0.7964730531952042,0.822831327527672,0.7964730531952042,0.7100450496167998,,,,,11.0,3.0,0.52,SimpleClassificationPipeline,heuristic
classification,hard,hetulmehta_website-classification,success,,1408.0,4.0,Category,0.9893617021276596,0.9898971989397521,0.9893617021276596,0.9893561744625576,,,,,56.0,22.0,0.08,SimpleClassificationPipeline,config
classification,hard,jocelyndumlao_consumer-review-of-clothing-product,failed,"The least populated class in y has only 1 member, which is too few. The minimum number of groups for any class cannot be less than 2.",,,,,,,,,,,,,,,,heuristic
classification,hard,pashupatigupta_emotion-detection-from-text,success,,40000.0,3.0,sentiment,0.15175,0.15190402741570744,0.15175,0.15180609430655395,,,,,13.0,1.0,1.0,SimpleClassificationPipeline,heuristic
classification,hard,prox37_twitter-multilabel-classification-dataset,failed,"The least populated class in y has only 1 member, which is too few. The minimum number of groups for any class cannot be less than 2.",,,,,,,,,,,,,,,,config
classification,hard,saurabhshahane_ecommerce-text-classification,success,,50424.0,2.0,Household,0.8477937530986613,0.8476461403500986,0.8477937530986613,0.847665546989555,,,,,23.0,4.0,0.7,SimpleClassificationPipeline,config
classification,hard,shivamb_spam-url-prediction,success,,148303.0,2.0,is_spam,0.7883415933380533,0.7816886206759445,0.7883415933380533,0.7786530923904136,,,,,25.0,3.0,0.5,SimpleClassificationPipeline,config
regression,easy,ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset,success,,807.0,8.0,Price,,,,,2797.364397307973,51070772.47057256,7146.381774756549,0.8790701871431805,49.0,4.0,0.48,SimpleRegressionPipeline,heuristic
regression,easy,govindaramsriram_crop-yield-of-a-farm,success,,3000.0,6.0,crop_yield,,,,,0.24244072258472443,0.08134860723617215,0.28521677236125537,0.9999962012847686,64.0,11.0,0.18,SimpleRegressionPipeline,heuristic
regression,easy,nalisha_numerical-feature-based-target-prediction-using-ml,success,,10000.0,7.0,target,,,,,3.9495388721766442,24.688196159070387,4.968721783222561,0.9953568778356496,42.0,1.0,1.0,SimpleRegressionPipeline,heuristic
regression,easy,quantbruce_real-estate-price-prediction,success,,414.0,8.0,Y house price of unit area,,,,,4.2077446428049035,35.36839101200799,5.9471330077616384,0.7891723600727182,72.0,8.0,0.52,SimpleRegressionPipeline,config
regression,easy,ranitsarkar01_porter-delivery-time-estimation,success,,197428.0,14.0,actual_delivery_time,,,,,14.065635223942575,1352.746441880649,36.77970149254408,-0.0010663870592488855,11.0,1.0,1.0,MyDummyRegressor,config
regression,easy,sakshisatre_the-boston-housing-dataset,success,,506.0,14.0,MEDV,,,,,1.9799171053311406,10.050093147018767,3.1701881879501674,0.8629541159079824,46.0,6.0,0.42,SimpleRegressionPipeline,heuristic
regression,easy,thedevastator_age-prediction-for-individuals-using-multi-omic,success,,104.0,13.0,KLF14_2,,,,,1.174603510110506,2.1963076853752694,1.4819944957304225,0.4450382822186616,68.0,6.0,0.32,SimpleRegressionPipeline,heuristic
regression,easy,zubairdhuddi_linear-regression,success,,300.0,2.0,y,,,,,2.6535420409213137,10.446384350728135,3.2320866867595206,0.9897190871352154,72.0,7.0,0.48,SimpleRegressionPipeline,heuristic
regression,mid,CooperUnion_cardataset,success,,11914.0,16.0,MSRP,,,,,3628.9632435941517,71848851.69445609,8476.370195694386,0.9698566216485065,22.0,1.0,1.0,SimpleRegressionPipeline,config
regression,mid,alamshihab075_health-and-lifestyle-data-for-diabetes-prediction,success,,97297.0,31.0,diet_score,,,,,0.92691296848105,1.3685325111370465,1.169842942935951,0.5666176743808278,14.0,2.0,0.52,SimpleRegressionPipeline,heuristic
regression,mid,camnugent_california-housing-prices,success,,20640.0,10.0,median_house_value,,,,,29921.4642644483,2100814620.707021,45834.64432835735,0.8396825223582361,23.0,4.0,0.36,SimpleRegressionPipeline,config
regression,mid,harlfoxem_housesalesprediction,success,,21613.0,21.0,price,,,,,69404.88437820777,21598043412.238243,146962.72796950335,0.8571337933613603,17.0,3.0,0.38,SimpleRegressionPipeline,config
regression,mid,hrokrin_the-largest-diamond-dataset-currely-on-kaggle,success,,219703.0,26.0,total_sales_price,,,,,608.595256048488,113350331.63644755,10646.611274788216,0.8540769166177853,12.0,1.0,1.0,SimpleRegressionPipeline,config
regression,mid,lorenzozoppelletto_financial-risk-for-loan-approval,success,,20000.0,36.0,RiskScore,,,,,2.0185566743850707,6.652809337808981,2.5793040413663877,0.8928477769166747,12.0,2.0,0.72,SimpleRegressionPipeline,config
regression,mid,mirichoi0218_insurance,success,,1338.0,7.0,charges,,,,,2127.184468329596,18342353.604167107,4282.797404053466,0.8818518294615563,36.0,7.0,0.46,SimpleRegressionPipeline,config
regression,mid,ranitsarkar01_porter-delivery-time-estimation,success,,197428.0,14.0,actual_delivery_time,,,,,14.065635223942575,1352.746441880649,36.77970149254408,-0.0010663870592488855,9.0,1.0,1.0,MyDummyRegressor,config
regression,mid,rupals_gpu-runtime,success,,241600.0,18.0,Run1 (ms),,,,,1.3374944437876441,11.059390212607518,3.325566149185356,0.9999176456403222,14.0,2.0,0.7,SimpleRegressionPipeline,config
regression,mid,yasserh_uber-fares-dataset,success,,200000.0,9.0,fare_amount,,,,,6.08799194477558,105.57428768707621,10.274934923739236,0.007023336462665952,11.0,1.0,1.0,SimpleRegressionPipeline,config
regression,hard,anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml,success,,1460.0,245.0,SalePrice,,,,,62676.72517123288,7679041254.257759,87630.13896062107,-0.0011362029247814487,96.0,1.0,1.0,MyDummyRegressor,heuristic
regression,hard,bharatsahu_house-price-prediction-dataset-insurancehub-usa,failed,not enough rows after preprocessing,,,,,,,,,,,,,,,,heuristic
regression,hard,bjaton_housepricesadvancedregressiontechniquestrain,success,,1460.0,81.0,SalePrice,,,,,17550.55443667059,947981598.1272861,30789.30980271052,0.8764092200877944,17.0,3.0,0.62,SimpleRegressionPipeline,heuristic
regression,hard,bobnau_daily-website-visitors,success,,2167.0,8.0,Day.Of.Week,,,,,1.424880621070686e-07,2.7011675026778692e-14,1.643522893870928e-07,0.9999999999999932,47.0,4.0,0.26,SimpleRegressionPipeline,heuristic
regression,hard,deepcontractor_car-price-prediction-challenge,success,,19237.0,18.0,Price,,,,,12427.211355491883,159283121636.93436,399102.8960518006,-510.18373606017593,30.0,2.0,0.94,SimpleRegressionPipeline,heuristic
regression,hard,kanchana1990_colorado-real-estate-market-2026,success,,8362.0,11.0,listPrice,,,,,580925.4627349211,3599654848382.4355,1897275.6384833585,0.36470266238828686,31.0,5.0,0.36,SimpleRegressionPipeline,config
regression,hard,milanvaddoriya_old-car-price-prediction,success,,5512.0,10.0,manufacture,,,,,1.4034727343838538,3.561180981451806,1.8871091599194272,0.7603092673610061,31.0,5.0,0.34,SimpleRegressionPipeline,heuristic
regression,hard,spittman1248_cdc-data-nutrition-physical-activity-obesity,success,,53392.0,33.0,Data_Value,,,,,0.0009327237189366831,0.0017047980160003996,0.04128919975006054,0.9999835282342875,12.0,1.0,1.0,SimpleRegressionPipeline,config
regression,hard,taweilo_mba-admission-dataset,success,,6194.0,10.0,work_exp,,,,,0.7714094861656355,1.0889214935650684,1.0435140121555955,-0.0008803082604866841,95.0,1.0,1.0,MyDummyRegressor,heuristic
regression,hard,valakhorasani_tehran-house-prices-dataset,success,,3479.0,8.0,Price,,,,,4421394199.54023,4.8942289936774455e+19,6995876638.190131,-0.01001517910781291,96.0,1.0,1.0,MyDummyRegressor,heuristic
