dataset_id,artifact_file,task_type,target_column,model_type,status,error,dataset_rows,usable_rows,feature_count,model_path,resolved_dataset_path,train_accuracy,test_accuracy,precision,recall,f1_score,test_samples,n_classes,filepath_resolution_note,train_r2,test_r2,mse,rmse,mae,dropped_hyperparameters
classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions.json,classification,sentiment,random_forest,success,,40000.0,40000.0,2.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions.pkl,/app/data/uploads/datasets/classification/hard/pashupatigupta_emotion-detection-from-text/tweet_emotions.csv,0.9999,0.183,0.1806,0.183,0.1817,8000.0,13.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/hard/pashupatigupta_emotion-detection-from-text/tweet_emotions_encoded.csv,,,,,,
classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.json,classification,,,failed,"The least populated classes in y have only 1 member, which is too few. The minimum number of groups for any class cannot be less than 2. Classes with too few members are: ['conspiracy country ingredients', 'conspiracy country pharma', 'conspiracy country side-effect', 'conspiracy ineffective ingredients', 'conspiracy ingredients mandatory', 'conspiracy ingredients pharma', 'conspiracy mandatory political', 'conspiracy mandatory side-effect', 'conspiracy pharma rushed', 'conspiracy unnecessary ingredients', 'country conspiracy', 'country ingredients', 'country mandatory', 'country political pharma', 'country side-effect ineffective', 'country side-effect religious', 'country unnecessary', 'ineffective conspiracy', 'ineffective country side-effect', 'ineffective mandatory side-effect', 'ineffective mandatory unnecessary', 'ineffective pharma unnecessary', 'ineffective rushed country', 'ineffective rushed pharma', 'ineffective rushed political', 'ineffective rushed side-effect', 'ineffective rushed unnecessary', 'ineffective side-effect pharma', 'ineffective side-effect rushed', 'ineffective unnecessary ingredients', 'ineffective unnecessary mandatory', 'ineffective unnecessary pharma', 'ineffective unnecessary rushed', 'ingredients conspiracy pharma', 'ingredients conspiracy rushed', 'ingredients conspiracy side-effect', 'ingredients ineffective rushed', 'ingredients pharma political', 'ingredients pharma side-effect', 'ingredients political', 'ingredients side-effect conspiracy', 'ingredients side-effect mandatory', 'ingredients side-effect pharma', 'mandatory conspiracy ingredients', 'mandatory conspiracy pharma', 'mandatory country political', 'mandatory ineffective side-effect', 'mandatory ingredients side-effect', 'mandatory pharma conspiracy', 'mandatory political religious', 'mandatory political rushed', 'mandatory religious', 'mandatory rushed pharma', 'mandatory rushed unnecessary', 'mandatory side-effect rushed', 'pharma conspiracy ingredients', 'pharma conspiracy rushed', 'pharma conspiracy side-effect', 'pharma country', 'pharma ineffective conspiracy', 'pharma mandatory political', 'pharma mandatory rushed', 'pharma mandatory unnecessary', 'pharma political side-effect', 'pharma political unnecessary', 'pharma rushed political', 'pharma side-effect political', 'pharma side-effect unnecessary', 'pharma unnecessary conspiracy', 'pharma unnecessary mandatory', 'pharma unnecessary political', 'political conspiracy mandatory', 'political conspiracy side-effect', 'political country mandatory', 'political pharma rushed', 'political religious conspiracy', 'political religious mandatory', 'political rushed ingredients', 'political rushed mandatory', 'religious side-effect', 'religious unnecessary', 'rushed conspiracy political', 'rushed conspiracy side-effect', 'rushed country ineffective', 'rushed country political', 'rushed country side-effect', 'rushed ineffective political', 'rushed ingredients conspiracy', 'rushed ingredients mandatory', 'rushed ingredients pharma', 'rushed mandatory pharma', 'rushed mandatory political', 'rushed pharma ineffective', 'rushed political ineffective', 'rushed religious', 'rushed rushed', 'rushed side-effect mandatory', 'rushed unnecessary mandatory', 'side-effect ineffective mandatory', 'side-effect ineffective unnecessary', 'side-effect ingredients conspiracy', 'side-effect ingredients ineffective', 'side-effect ingredients mandatory', 'side-effect ingredients religious', 'side-effect ingredients unnecessary', 'side-effect mandatory ineffective', 'side-effect mandatory pharma', 'side-effect mandatory political', 'side-effect pharma ingredients', 'side-effect pharma mandatory', 'side-effect pharma unnecessary', 'side-effect political conspiracy', 'side-effect political rushed', 'side-effect religious mandatory', 'side-effect rushed country', 'side-effect rushed ingredients', 'side-effect rushed mandatory', 'side-effect unnecessary ingredients', 'side-effect unnecessary mandatory', 'unnecessary conspiracy ingredients', 'unnecessary conspiracy pharma', 'unnecessary ineffective side-effect', 'unnecessary ingredients side-effect', 'unnecessary mandatory ineffective', 'unnecessary mandatory ingredients', 'unnecessary pharma ineffective', 'unnecessary political side-effect', 'unnecessary rushed pharma', 'unnecessary rushed political', 'unnecessary rushed side-effect', 'unnecessary side-effect ingredients']",,,,,,,,,,,,,,,,,,,
classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset,classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset.json,classification,Household,random_forest,success,,50424.0,50424.0,1.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset.pkl,/app/data/uploads/datasets/classification/hard/saurabhshahane_ecommerce-text-classification/ecommerceDataset.csv,1.0,1.0,1.0,1.0,1.0,10085.0,4.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/hard/saurabhshahane_ecommerce-text-classification/ecommerceDataset_cleaned.csv,,,,,,
classification__hard__shivamb_spam-url-prediction__url_spam_classification,classification__hard__shivamb_spam-url-prediction__url_spam_classification.json,classification,is_spam,random_forest,success,,148303.0,148303.0,1.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__hard__shivamb_spam-url-prediction__url_spam_classification.pkl,/app/data/uploads/datasets/classification/hard/shivamb_spam-url-prediction/url_spam_classification.csv,1.0,0.9837,0.9843,0.9837,0.9838,29661.0,2.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/hard/shivamb_spam-url-prediction/url_spam_classification_encoded.csv,,,,,,
classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets.json,classification,cyberbullying_type,random_forest,success,,47692.0,47692.0,1.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets.pkl,/app/data/uploads/datasets/classification/mid/andrewmvd_cyberbullying-classification/cyberbullying_tweets.csv,0.9731,0.9271,0.9271,0.9271,0.9271,9539.0,6.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/mid/andrewmvd_cyberbullying-classification/cyberbullying_tweets_encoded.csv,,,,,,
classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots,classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots.json,classification,round_winner,random_forest,success,,122410.0,122410.0,96.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots.pkl,/app/data/uploads/datasets/classification/mid/christianlillelund_csgo-round-winner-classification/csgo_round_snapshots.csv,0.9971,0.8739,0.8743,0.8739,0.874,24482.0,2.0,,,,,,,
classification__mid__fedesoriano_heart-failure-prediction__heart,classification__mid__fedesoriano_heart-failure-prediction__heart.json,classification,HeartDisease,random_forest,success,,918.0,918.0,11.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__fedesoriano_heart-failure-prediction__heart.pkl,/app/data/uploads/datasets/classification/mid/fedesoriano_heart-failure-prediction/heart.csv,1.0,0.8859,0.8858,0.8859,0.8858,184.0,2.0,Used fallback candidate filepath: /app/data/uploads/datasets/classification/mid/fedesoriano_heart-failure-prediction/heart.csv,,,,,,
classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification.json,classification,class,random_forest,success,,100000.0,100000.0,17.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification.pkl,/app/data/uploads/datasets/classification/mid/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,1.0,0.9797,0.9796,0.9797,0.9795,20000.0,3.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/mid/fedesoriano_stellar-classification-dataset-sdss17/star_classification_scaled.csv,,,,,,
classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset,classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset.json,classification,Class,random_forest,success,,13611.0,13611.0,16.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset.pkl,/app/data/uploads/datasets/classification/mid/nimapourmoradi_dry-bean-dataset-classification/Dry_Bean_Dataset.csv,1.0,0.9218,0.9219,0.9218,0.9217,2723.0,7.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/mid/nimapourmoradi_dry-bean-dataset-classification/Dry_Bean_Dataset_scaled.csv,,,,,,
classification__mid__tanishqdublish_text-classification-documentation__df_file,classification__mid__tanishqdublish_text-classification-documentation__df_file.json,classification,Label,logistic,success,,2225.0,2225.0,1.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__tanishqdublish_text-classification-documentation__df_file.pkl,/app/data/uploads/datasets/classification/mid/tanishqdublish_text-classification-documentation/df_file.csv,1.0,0.9955,0.9956,0.9955,0.9955,445.0,5.0,Used fallback candidate filepath: /app/data/uploads/datasets/classification/mid/tanishqdublish_text-classification-documentation/df_file.csv,,,,,,
classification__mid__uciml_iris__Iris,classification__mid__uciml_iris__Iris.json,classification,Species,random_forest,success,,150.0,150.0,5.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__uciml_iris__Iris.pkl,/app/data/uploads/datasets/classification/mid/uciml_iris/Iris.csv,1.0,1.0,1.0,1.0,1.0,30.0,3.0,,,,,,,
classification__mid__uciml_pima-indians-diabetes-database__diabetes,classification__mid__uciml_pima-indians-diabetes-database__diabetes.json,classification,Outcome,random_forest,success,,768.0,768.0,8.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__uciml_pima-indians-diabetes-database__diabetes.pkl,/app/data/uploads/datasets/classification/mid/uciml_pima-indians-diabetes-database/diabetes.csv,1.0,0.7597,0.7546,0.7597,0.7555,154.0,2.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/mid/uciml_pima-indians-diabetes-database/diabetes_scaled.csv,,,,,,
classification__mid__xhlulu_cpc-codes__titles,classification__mid__xhlulu_cpc-codes__titles.json,classification,class,random_forest,success,,260476.0,260467.0,6.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__xhlulu_cpc-codes__titles.pkl,/app/data/uploads/datasets/classification/mid/xhlulu_cpc-codes/titles.csv,1.0,0.9995,0.9995,0.9995,0.9995,52094.0,50.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/mid/xhlulu_cpc-codes/titles_encoded.csv,,,,,,
classification__mid__yasserh_titanic-dataset__Titanic-Dataset,classification__mid__yasserh_titanic-dataset__Titanic-Dataset.json,classification,Embarked,random_forest,success,,891.0,889.0,11.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/classification__mid__yasserh_titanic-dataset__Titanic-Dataset.pkl,/app/data/uploads/datasets/classification/mid/yasserh_titanic-dataset/Titanic-Dataset.csv,1.0,0.764,0.7499,0.764,0.7321,178.0,3.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/mid/yasserh_titanic-dataset/Titanic-Dataset_scaled.csv,,,,,,
regression__easy__ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset__Mobile-Price-Prediction-cleaned_data,regression__easy__ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset__Mobile-Price-Prediction-cleaned_data.json,regression,Price,random_forest,success,,807.0,807.0,7.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__easy__ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset__Mobile-Price-Prediction-cleaned_data.pkl,/app/data/uploads/datasets/regression/easy/ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset/Mobile-Price-Prediction-cleaned_data.csv,,,,,,162.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/easy/ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset/Mobile-Price-Prediction-cleaned_data_scaled.csv,0.9828,0.8115,79612270.6284,8922.5709,3143.3803,
regression__easy__govindaramsriram_crop-yield-of-a-farm__crop_yield_data,regression__easy__govindaramsriram_crop-yield-of-a-farm__crop_yield_data.json,regression,crop_yield,linear,success,,3000.0,3000.0,5.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__easy__govindaramsriram_crop-yield-of-a-farm__crop_yield_data.pkl,/app/data/uploads/datasets/regression/easy/govindaramsriram_crop-yield-of-a-farm/crop_yield_data.csv,,,,,,600.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/easy/govindaramsriram_crop-yield-of-a-farm/crop_yield_data_scaled.csv,1.0,1.0,0.0818,0.2859,0.2432,4.0
regression__easy__nalisha_numerical-feature-based-target-prediction-using-ml__practice_dataset,regression__easy__nalisha_numerical-feature-based-target-prediction-using-ml__practice_dataset.json,regression,target,linear,success,,10000.0,10000.0,6.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__easy__nalisha_numerical-feature-based-target-prediction-using-ml__practice_dataset.pkl,/app/data/uploads/datasets/regression/easy/nalisha_numerical-feature-based-target-prediction-using-ml/practice_dataset.csv,,,,,,2000.0,,,0.5368,0.5281,2509.0934,50.0909,41.2742,4.0
regression__easy__quantbruce_real-estate-price-prediction__Real estate,regression__easy__quantbruce_real-estate-price-prediction__Real estate.json,regression,Y house price of unit area,random_forest,success,,414.0,414.0,7.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__easy__quantbruce_real-estate-price-prediction__Real estate.pkl,/app/data/uploads/datasets/regression/easy/quantbruce_real-estate-price-prediction/Real estate.csv,,,,,,83.0,,,0.9505,0.8101,31.8592,5.6444,3.8669,
regression__easy__ranitsarkar01_porter-delivery-time-estimation__dataset,regression__easy__ranitsarkar01_porter-delivery-time-estimation__dataset.json,regression,total_outstanding_orders,random_forest,success,,197428.0,181166.0,13.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__easy__ranitsarkar01_porter-delivery-time-estimation__dataset.pkl,/app/data/uploads/datasets/regression/easy/ranitsarkar01_porter-delivery-time-estimation/dataset.csv,,,,,,36234.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/easy/ranitsarkar01_porter-delivery-time-estimation/dataset_scaled.csv,0.9939,0.9565,119.5194,10.9325,7.0244,
regression__easy__sakshisatre_the-boston-housing-dataset__Boston (1),regression__easy__sakshisatre_the-boston-housing-dataset__Boston (1).json,regression,MEDV,linear,success,,506.0,506.0,13.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__easy__sakshisatre_the-boston-housing-dataset__Boston (1).pkl,/app/data/uploads/datasets/regression/easy/sakshisatre_the-boston-housing-dataset/Boston (1).csv,,,,,,102.0,,,0.7509,0.6688,24.2911,4.9286,3.1891,4.0
regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows,regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows.json,regression,KLF14_2,random_forest,success,,104.0,104.0,12.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows.pkl,/app/data/uploads/datasets/regression/easy/thedevastator_age-prediction-for-individuals-using-multi-omic/test_rows.csv,,,,,,21.0,,,0.9053,0.3245,2.6732,1.635,1.3336,
regression__easy__zubairdhuddi_linear-regression__test,regression__easy__zubairdhuddi_linear-regression__test.json,regression,y,linear,success,,300.0,300.0,1.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__easy__zubairdhuddi_linear-regression__test.pkl,/app/data/uploads/datasets/regression/easy/zubairdhuddi_linear-regression/test.csv,,,,,,60.0,,,0.9885,0.9909,9.2594,3.0429,2.5178,4.0
regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned,regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned.json,regression,SalePrice,random_forest,success,,1460.0,1460.0,244.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned.pkl,/app/data/uploads/datasets/regression/hard/anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml/house_prices_cleaned.csv,,,,,,292.0,,,0.9789,0.8913,833572651.9081,28871.6583,17613.7666,
regression__hard__bharatsahu_house-price-prediction-dataset-insurancehub-usa__House_price_multifeatures,regression__hard__bharatsahu_house-price-prediction-dataset-insurancehub-usa__House_price_multifeatures.json,regression,,,failed,could not convert string to float: '037-0',,,,,,,,,,,,,,,,,,,
regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train,regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train.json,regression,SalePrice,random_forest,success,,1460.0,1460.0,80.0,/app/data/batch_results/batch_20260413210359_e0bfce22/models/regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train.pkl,/app/data/uploads/datasets/regression/hard/bjaton_housepricesadvancedregressiontechniquestrain/train.csv,,,,,,292.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/hard/bjaton_housepricesadvancedregressiontechniquestrain/train_scaled.csv,0.9788,0.8881,858459681.4868,29299.4826,17753.5859,
regression__hard__bobnau_daily-website-visitors__daily-website-visitors,regression__hard__bobnau_daily-website-visitors__daily-website-visitors.json,regression,,,failed,"could not convert string to float: '1,036'",,,,,,,,,,,,,,,,,,,
