Unnamed: 0,car_name,price,kms_driven,year,engine_cc,seats,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol,transmission_Manual,ownership_1st Owner,ownership_2nd Owner,ownership_3rd Owner,ownership_4th Owner,ownership_5th Owner
168,990,1.90 Lakh,"61,000 kms",-1.3890230389872802,796 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
5275,71,66 Lakh,"6,000 kms",1.6662641111165672,1998 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
3130,865,3.10 Lakh,"90,000 kms",-1.643630301495934,1199 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
3392,1023,3.35 Lakh,"60,000 kms",0.1386205360646435,1995 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2045,1834,4.50 Lakh,"90,000 kms",-0.1159867264440103,995 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
2118,52,5 Lakh,"90,000 kms",-1.1344157764786262,1498 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
5144,1830,3.67 Lakh,"1,75,705 kms",0.3932277985732975,799 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
279,1353,53.95 Lakh,"33,000 kms",0.9024423235906056,2143 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
4639,271,3.20 Lakh,"90,000 kms",-0.3705939889526643,1120 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
1837,494,3.25 Lakh,"3,25,000 kms",-0.6252012514613183,1956 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4040,984,2.55 Lakh,"37,331 kms",0.1386205360646435,999 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
4309,1766,4.65 Lakh,"60,130 kms",-0.8798085139699723,1248 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
544,504,3.20 Lakh,"76,175 kms",-0.6252012514613183,1497 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4438,648,6.50 Lakh,"70,000 kms",0.6478350610819515,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4860,629,2.90 Lakh,"89,000 kms",-1.1344157764786262,1248 cc,7 Seats,False,False,False,True,True,True,False,False,False,False
4689,1428,3.96 Lakh,"88,189 kms",-0.6252012514613183,1248 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
2577,997,4.50 Lakh,"25,000 kms",0.9024423235906056,1399 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
2760,1366,1.19 Crore,"24,500 kms",0.3932277985732975,1197 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
2422,553,11.91 Lakh,"26,192 kms",1.1570495860992591,1086 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
1504,745,15.75 Lakh,"62,000 kms",0.9024423235906056,2993 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
4722,702,3.88 Lakh,"84,533 kms",-0.1159867264440103,1197 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
724,321,2.75 Lakh,"1,01,000 kms",-1.3890230389872802,1995 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
333,1206,3.88 Lakh,"1,15,986 kms",-0.6252012514613183,1248 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
1437,475,3.50 Lakh,"60,000 kms",0.3932277985732975,1197 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
1351,373,6.90 Lakh,"27,200 kms",0.3932277985732975,1462 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
4283,180,4.55 Lakh,"66,001 kms",-0.3705939889526643,1197 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
3780,635,2.78 Lakh,"19,967 kms",-0.3705939889526643,1396 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1526,75,1.30 Crore,"19,000 kms",1.4116568486079133,1968 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
4241,768,17.58 Lakh,"8,357 kms",1.6662641111165672,1197 cc,4 Seats,True,False,False,False,False,True,False,False,False,False
1176,466,5.25 Lakh,"70,372 kms",-0.6252012514613183,624 cc,4 Seats,True,False,False,False,True,True,False,False,False,False
3158,460,1.95 Lakh,"60,000 kms",-0.3705939889526643,1462 cc,7 Seats,False,False,False,True,True,False,True,False,False,False
584,1067,7.25 Lakh,"47,000 kms",0.1386205360646435,1248 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
730,1211,3.17 Lakh,"61,828 kms",-0.6252012514613183,998 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4641,594,15.50 Lakh,"32,000 kms",1.4116568486079133,1995 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
3513,1787,19.30 Lakh,"20,713 kms",1.4116568486079133,1198 cc,7 Seats,True,False,False,False,True,True,False,False,False,False
2707,428,9.96 Lakh,"30,730 kms",0.6478350610819515,2143 cc,5 Seats,False,False,False,True,False,False,True,False,False,False
319,972,3.45 Lakh,"53,000 kms",0.1386205360646435,796 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
5124,743,9.27 Lakh,"1,19,444 kms",0.3932277985732975,1197 cc,6 Seats,True,False,False,False,True,True,False,False,False,False
4983,1025,4.32 Lakh,"74,776 kms",1.1570495860992591,1197 cc,5 Seats,False,False,False,False,True,True,False,False,False,False
2922,2,14.80 Lakh,"57,500 kms",-0.6252012514613183,1493 cc,5 Seats,False,False,False,True,False,False,False,True,False,False
1864,702,5.32 Lakh,"80,000 kms",-0.1159867264440103,1497 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
4317,1018,9.09 Lakh,"1,026 kms",1.6662641111165672,1582 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
3956,1266,3.11 Lakh,"73,549 kms",0.1386205360646435,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
3096,1262,5.21 Lakh,"7,500 kms",1.4116568486079133,1998 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4281,1399,1.80 Lakh,"43,732 kms",-0.8798085139699723,1497 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
3880,473,4.20 Lakh,"80,000 kms",0.6478350610819515,1498 cc,7 Seats,True,False,False,False,True,False,True,False,False,False
3085,61,48 Lakh,"29,000 kms",0.9024423235906056,1396 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
5200,757,14.98 Lakh,"19,667 kms",0.9024423235906056,799 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
5149,130,"59,736 ","1,92,340 kms",-1.3890230389872802,1390 cc,5 Seats,False,False,True,False,True,False,True,False,False,False
4732,459,1.60 Lakh,"80,310 kms",-1.1344157764786262,1248 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2513,330,3.50 Lakh,"65,000 kms",-0.6252012514613183,1399 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1168,1338,44 Lakh,"65,000 kms",0.6478350610819515,2143 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
1199,34,14.25 Lakh,"94,002 kms",-0.6252012514613183,2487 cc,5 Seats,True,False,False,False,False,False,True,False,False,False
3159,992,"80,000 ","80,000 kms",-1.898237564004588,1196 cc,5 Seats,False,False,False,True,True,False,False,False,True,False
4975,618,5.15 Lakh,"8,620 kms",0.3932277985732975,2999 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
465,257,3.62 Lakh,"80,000 kms",0.1386205360646435,1196 cc,5 Seats,False,False,False,True,True,False,False,True,False,False
2517,229,1.60 Lakh,"85,000 kms",-1.1344157764786262,1373 cc,5 Seats,True,False,False,False,True,False,False,False,True,False
2523,834,4.25 Lakh,"1,20,000 kms",-0.3705939889526643,2354 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
1630,791,20 Lakh,"65,000 kms",-0.6252012514613183,1199 cc,5 Seats,True,False,False,False,False,False,True,False,False,False
3519,405,1.15 Lakh,"1,00,636 kms",-1.898237564004588,998 cc,7 Seats,False,False,False,True,True,False,True,False,False,False
3437,339,4.28 Lakh,"1,33,384 kms",-0.3705939889526643,1582 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
1371,984,3.15 Lakh,"30,555 kms",0.1386205360646435,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4940,1180,5.75 Lakh,"1,00,000 kms",-0.1159867264440103,998 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
4464,655,6 Lakh,"30,000 kms",0.6478350610819515,1461 cc,7 Seats,False,False,False,True,True,True,False,False,False,False
3917,704,5.10 Lakh,"29,258 kms",-0.1159867264440103,1197 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
2481,210,7.75 Lakh,"25,000 kms",-1.1344157764786262,2179 cc,7 Seats,True,False,False,False,False,True,False,False,False,False
15,486,5.63 Lakh,"59,313 kms",0.1386205360646435,1197 cc,5 Seats,False,False,False,True,False,False,True,False,False,False
4489,1459,4.50 Lakh,"20,000 kms",1.4116568486079133,1984 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2525,179,4.49 Lakh,"42,130 kms",-0.3705939889526643,1364 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
5395,258,3.50 Lakh,"80,000 kms",-0.3705939889526643,1493 cc,7 Seats,True,False,False,False,True,True,False,False,False,False
3434,1180,3.27 Lakh,"99,121 kms",-0.3705939889526643,2199 cc,5 Seats,True,False,False,False,True,False,False,True,False,False
4180,1419,58 Lakh,"50,000 kms",0.1386205360646435,1461 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
4716,876,12.36 Lakh,"27,924 kms",1.1570495860992591,1950 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
1879,1266,3.30 Lakh,"70,000 kms",-0.1159867264440103,2999 cc,7 Seats,False,False,False,True,True,False,True,False,False,False
691,901,7.65 Lakh,"33,647 kms",-0.1159867264440103,1248 cc,7 Seats,True,False,False,False,True,True,False,False,False,False
4419,1256,1.98 Lakh,"2,00,000 kms",-2.1528448265132423,796 cc,5 Seats,False,False,False,True,True,False,False,True,False,False
2527,250,3.25 Lakh,"63,000 kms",-1.643630301495934,1497 cc,8 Seats,False,False,False,True,True,True,False,False,False,False
4616,493,4.24 Lakh,"61,893 kms",0.3932277985732975,2499 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
3680,972,3.10 Lakh,"35,000 kms",1.1570495860992591,1497 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
1186,1298,12.90 Lakh,"67,000 kms",-0.6252012514613183,1197 cc,5 Seats,False,False,False,True,False,False,True,False,False,False
84,51,40 Lakh,"18,000 kms",1.4116568486079133,1998 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
501,322,2.25 Lakh,"70,000 kms",-2.66205935153055,1497 cc,5 Seats,False,False,False,True,False,False,False,True,False,False
2316,1533,7.60 Lakh,"40,000 kms",0.3932277985732975,1493 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
5317,990,1.90 Lakh,"25,000 kms",-1.1344157764786262,2179 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1971,1460,3.13 Lakh,"26,457 kms",0.6478350610819515,1061 cc,5 Seats,False,False,False,True,True,False,False,True,False,False
1295,494,3.40 Lakh,"33,000 kms",-0.3705939889526643,2987 cc,7 Seats,False,False,False,True,True,False,True,False,False,False
2378,1282,1.20 Lakh,"80,000 kms",-2.1528448265132423,1120 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
1272,813,18.25 Lakh,"27,779 kms",1.4116568486079133,1396 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
3053,864,3.50 Lakh,"1,00,000 kms",-2.407452089021896,4461 cc,8 Seats,True,False,False,False,True,False,True,False,False,False
2387,736,16.90 Lakh,"37,000 kms",0.3932277985732975,1591 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
4295,2,14.80 Lakh,"57,500 kms",-0.6252012514613183,1197 cc,5 Seats,False,False,False,True,False,False,False,True,False,False
2418,597,2.56 Lakh,"1,18,215 kms",-1.3890230389872802,998 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
1374,1060,5.36 Lakh,"96,528 kms",0.3932277985732975,999 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
776,1148,2.45 Lakh,"76,247 kms",-1.3890230389872802,1950 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2330,1234,11.50 Lakh,"92,916 kms",0.9024423235906056,1461 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
3765,1099,5 Lakh,"56,184 kms",-0.3705939889526643,1248 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
2629,1231,6 Lakh,"40,000 kms",0.3932277985732975,1248 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
1468,53,18.50 Lakh,"64,593 kms",-0.3705939889526643,1197 cc,5 Seats,True,False,False,False,False,False,False,True,False,False
2417,1189,5.42 Lakh,"77,932 kms",-0.1159867264440103,1495 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
5324,1888,37 Lakh,"1,00,000 kms",0.1386205360646435,1248 cc,5 Seats,True,False,False,False,False,False,True,False,False,False
1886,1672,3.10 Lakh,"90,000 kms",-0.8798085139699723,1497 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
4304,957,1.82 Lakh,"1,12,341 kms",-1.643630301495934,1199 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
3516,1416,4.41 Lakh,"1,33,451 kms",-0.1159867264440103,1197 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
1859,517,5.76 Lakh,"9,000 kms",1.1570495860992591,3198 cc,7 Seats,False,False,False,True,False,True,False,False,False,False
2801,823,4.50 Lakh,"25,000 kms",-0.3705939889526643,1199 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
4235,61,54.75 Lakh,"40,500 kms",1.4116568486079133,1197 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
4424,988,1.10 Lakh,"1,20,000 kms",-1.643630301495934,998 cc,5 Seats,False,False,False,True,True,False,False,False,True,False
1197,1368,51 Lakh,"40,000 kms",-0.1159867264440103,1968 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
351,320,4.60 Lakh,"96,000 kms",-1.3890230389872802,1497 cc,5 Seats,False,False,False,True,False,False,True,False,False,False
3412,1548,5.11 Lakh,"61,090 kms",-1.1344157764786262,1497 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
5474,1373,68 Lakh,"27,000 kms",1.4116568486079133,5461 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
5322,88,60 Lakh,"19,000 kms",1.4116568486079133,1997 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
2004,538,17.50 Lakh,"50,000 kms",0.6478350610819515,2179 cc,7 Seats,True,False,False,False,False,True,False,False,False,False
3475,1808,10.72 Lakh,"9,711 kms",1.4116568486079133,2393 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
3646,1780,4.10 Lakh,"1,20,000 kms",-1.1344157764786262,1248 cc,5 Seats,True,False,False,False,True,False,False,True,False,False
2981,1807,9.28 Lakh,"26,523 kms",1.4116568486079133,998 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4331,504,4.17 Lakh,"23,931 kms",0.3932277985732975,1248 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4661,1125,1.60 Lakh,"1,32,000 kms",-1.1344157764786262,624 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
2333,1398,3.95 Lakh,"1,10,000 kms",-0.1159867264440103,796 cc,6 Seats,True,False,False,False,True,True,False,False,False,False
3852,1839,1.80 Lakh,"1,20,000 kms",-1.1344157764786262,1462 cc,5 Seats,True,False,False,False,True,False,False,True,False,False
132,1648,8.51 Lakh,"29,000 kms",1.1570495860992591,1198 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
4155,1287,1.59 Lakh,"58,282 kms",-1.1344157764786262,1086 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
80,479,4.60 Lakh,"45,000 kms",0.9024423235906056,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1647,382,7.30 Lakh,"40,000 kms",0.9024423235906056,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2344,1825,8.50 Lakh,"50,000 kms",0.1386205360646435,1197 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
1173,1099,6 Lakh,"43,000 kms",-0.3705939889526643,2987 cc,7 Seats,True,False,False,False,True,False,True,False,False,False
4172,1294,66 Lakh,"12,000 kms",0.1386205360646435,796 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
5301,1330,25.90 Lakh,"60,625 kms",0.1386205360646435,1197 cc,5 Seats,True,False,False,False,False,False,True,False,False,False
1569,1758,6.06 Lakh,"40,252 kms",1.1570495860992591,1582 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4810,1647,6.51 Lakh,"15,601 kms",0.6478350610819515,1968 cc,7 Seats,False,False,False,True,True,True,False,False,False,False
1487,1297,7.65 Lakh,"57,000 kms",-0.6252012514613183,1498 cc,5 Seats,True,False,False,False,False,False,False,True,False,False
2259,1075,5 Lakh,"63,000 kms",0.9024423235906056,1498 cc,7 Seats,False,False,False,True,True,True,False,False,False,False
471,1868,7.75 Lakh,"46,464 kms",0.1386205360646435,998 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
932,86,40 Lakh,"10,000 kms",1.4116568486079133,1061 cc,7 Seats,False,False,False,True,False,True,False,False,False,False
4303,1459,2.70 Lakh,"65,292 kms",0.3932277985732975,1086 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1425,493,2.75 Lakh,"65,000 kms",-0.3705939889526643,1396 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
167,710,6.50 Lakh,"87,000 kms",0.9024423235906056,1396 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
2984,1269,4.13 Lakh,"42,561 kms",0.9024423235906056,1248 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
3010,1015,6.08 Lakh,"14,976 kms",1.6662641111165672,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1612,854,10.25 Lakh,"77,000 kms",0.9024423235906056,1493 cc,7 Seats,True,False,False,False,True,True,False,False,False,False
2915,11,14.80 Lakh,"45,500 kms",-0.3705939889526643,1968 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
1242,488,4.06 Lakh,"30,346 kms",0.1386205360646435,1248 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1849,1887,65 Lakh,"39,000 kms",0.6478350610819515,998 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
2605,1610,1.65 Lakh,"20,000 kms",-1.1344157764786262,998 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
4680,494,3.55 Lakh,"90,000 kms",0.3932277985732975,998 cc,7 Seats,False,False,False,True,True,False,True,False,False,False
2110,629,2.95 Lakh,"62,000 kms",-0.6252012514613183,1197 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
1501,34,16 Lakh,"94,002 kms",-0.3705939889526643,1797 cc,5 Seats,True,False,False,False,False,False,True,False,False,False
4403,1092,5.25 Lakh,"58,000 kms",-0.6252012514613183,1186 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
3270,1249,2.23 Lakh,"60,545 kms",-0.6252012514613183,1120 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2925,729,16.90 Lakh,"78,000 kms",0.6478350610819515,1248 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
3396,1016,7.10 Lakh,"20,000 kms",1.4116568486079133,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
315,101,1.23 Crore,"13,000 kms",0.9024423235906056,2998 cc,7 Seats,False,False,False,True,False,True,False,False,False,False
2138,1249,2.65 Lakh,"85,000 kms",-0.8798085139699723,999 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
3245,207,13.38 Lakh,"1,03,066 kms",0.1386205360646435,998 cc,5 Seats,True,False,False,False,False,False,True,False,False,False
1095,1183,5 Lakh,"41,899 kms",0.1386205360646435,2400 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
553,667,6.51 Lakh,"42,923 kms",0.3932277985732975,1591 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
3973,1384,9.80 Lakh,"1,12,912 kms",-0.3705939889526643,1396 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
4002,1651,7.54 Lakh,"8,635 kms",0.9024423235906056,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2985,527,1.05 Lakh,"30,778 kms",-1.898237564004588,1086 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1253,767,15.25 Lakh,"48,101 kms",1.1570495860992591,1997 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
5110,1127,2.04 Lakh,"1,27,763 kms",-1.1344157764786262,1461 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
1954,319,2.71 Lakh,"1,49,232 kms",-1.3890230389872802,1364 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2072,992,1.39 Lakh,"1,20,000 kms",-2.1528448265132423,1198 cc,5 Seats,False,False,False,True,True,False,False,False,True,False
2802,1140,6.60 Lakh,"65,000 kms",0.3932277985732975,1197 cc,7 Seats,True,False,False,False,True,False,True,False,False,False
5202,1823,5.51 Lakh,"85,000 kms",-1.3890230389872802,814 cc,5 Seats,True,False,False,False,False,False,True,False,False,False
2488,907,7.50 Lakh,"86,000 kms",0.6478350610819515,624 cc,4 Seats,True,False,False,False,True,True,False,False,False,False
5416,754,16.90 Lakh,"3,000 kms",1.4116568486079133,998 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
371,1509,14.75 Lakh,"1,08,000 kms",0.3932277985732975,1968 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
2980,708,6.64 Lakh,"38,285 kms",0.9024423235906056,1086 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2561,494,4 Lakh,"90,000 kms",0.3932277985732975,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4187,1413,3.92 Lakh,"97,972 kms",-0.3705939889526643,1248 cc,7 Seats,True,False,False,False,True,False,True,False,False,False
2794,1171,3.50 Lakh,"70,000 kms",-0.1159867264440103,1197 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
1782,653,3.05 Lakh,"80,000 kms",-0.8798085139699723,1353 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
2409,980,2.80 Lakh,"56,000 kms",-0.6252012514613183,1598 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
3316,815,17.30 Lakh,"27,122 kms",1.1570495860992591,1461 cc,7 Seats,True,False,False,False,True,True,False,False,False,False
23,740,15.88 Lakh,"15,414 kms",0.9024423235906056,1956 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
